DATE,LAUST100000000000003A
1976-01-01,8.5
1977-01-01,8.2
1978-01-01,7.1
1979-01-01,7.0
1980-01-01,7.5
1981-01-01,7.8
1982-01-01,8.4
1983-01-01,7.9
1984-01-01,6.2
1985-01-01,5.1
1986-01-01,4.2
1987-01-01,3.0
1988-01-01,3.0
1989-01-01,3.3
1990-01-01,4.4
1991-01-01,5.9
1992-01-01,5.2
1993-01-01,4.9
1994-01-01,4.7
1995-01-01,4.3
1996-01-01,5.0
1997-01-01,4.0
1998-01-01,3.5
1999-01-01,3.3
2000-01-01,3.6
2001-01-01,3.6
2002-01-01,4.3
2003-01-01,4.5
2004-01-01,4.3
2005-01-01,4.5
2006-01-01,3.9
2007-01-01,3.6
2008-01-01,5.0
2009-01-01,8.4
2010-01-01,8.7
2011-01-01,7.6
2012-01-01,7.1
2013-01-01,6.6
2014-01-01,5.6
2015-01-01,4.8
2016-01-01,4.5
2017-01-01,4.5
2018-01-01,3.8
2019-01-01,3.7
2020-01-01,7.6
2021-01-01,5.3
