DATE,LAUST150000000000003A
1976-01-01,9.2
1977-01-01,7.7
1978-01-01,6.9
1979-01-01,5.7
1980-01-01,4.9
1981-01-01,5.2
1982-01-01,6.1
1983-01-01,5.9
1984-01-01,5.4
1985-01-01,5.2
1986-01-01,4.7
1987-01-01,3.7
1988-01-01,3.1
1989-01-01,2.5
1990-01-01,2.6
1991-01-01,2.8
1992-01-01,4.1
1993-01-01,4.4
1994-01-01,5.2
1995-01-01,5.5
1996-01-01,5.9
1997-01-01,5.9
1998-01-01,5.8
1999-01-01,5.2
2000-01-01,4.2
2001-01-01,4.3
2002-01-01,4.0
2003-01-01,3.9
2004-01-01,3.3
2005-01-01,2.8
2006-01-01,2.5
2007-01-01,2.7
2008-01-01,4.0
2009-01-01,6.7
2010-01-01,6.8
2011-01-01,6.8
2012-01-01,5.9
2013-01-01,4.8
2014-01-01,4.2
2015-01-01,3.4
2016-01-01,2.9
2017-01-01,2.2
2018-01-01,2.4
2019-01-01,2.5
2020-01-01,12.0
2021-01-01,5.7
