DATE,LAUST180000000000003A
1976-01-01,6.1
1977-01-01,5.8
1978-01-01,5.6
1979-01-01,6.4
1980-01-01,9.7
1981-01-01,9.7
1982-01-01,12.0
1983-01-01,11.1
1984-01-01,8.5
1985-01-01,7.7
1986-01-01,6.8
1987-01-01,6.1
1988-01-01,5.2
1989-01-01,4.7
1990-01-01,5.1
1991-01-01,5.7
1992-01-01,6.1
1993-01-01,5.1
1994-01-01,4.7
1995-01-01,4.4
1996-01-01,4.0
1997-01-01,3.4
1998-01-01,3.0
1999-01-01,2.9
2000-01-01,3.0
2001-01-01,4.2
2002-01-01,5.2
2003-01-01,5.3
2004-01-01,5.4
2005-01-01,5.4
2006-01-01,5.0
2007-01-01,4.6
2008-01-01,5.9
2009-01-01,10.5
2010-01-01,10.1
2011-01-01,8.9
2012-01-01,8.2
2013-01-01,7.5
2014-01-01,5.9
2015-01-01,4.8
2016-01-01,4.4
2017-01-01,3.5
2018-01-01,3.4
2019-01-01,3.3
2020-01-01,7.2
2021-01-01,3.6
