DATE,LAUST200000000000003A
1976-01-01,4.1
1977-01-01,3.9
1978-01-01,3.1
1979-01-01,3.1
1980-01-01,4.4
1981-01-01,4.3
1982-01-01,6.3
1983-01-01,5.9
1984-01-01,5.0
1985-01-01,5.2
1986-01-01,5.3
1987-01-01,4.8
1988-01-01,4.5
1989-01-01,4.2
1990-01-01,4.2
1991-01-01,4.5
1992-01-01,4.6
1993-01-01,4.9
1994-01-01,4.8
1995-01-01,4.3
1996-01-01,4.3
1997-01-01,3.8
1998-01-01,3.7
1999-01-01,3.5
2000-01-01,3.8
2001-01-01,4.3
2002-01-01,5.1
2003-01-01,5.5
2004-01-01,5.5
2005-01-01,5.1
2006-01-01,4.4
2007-01-01,4.3
2008-01-01,4.6
2009-01-01,6.9
2010-01-01,7.0
2011-01-01,6.4
2012-01-01,5.7
2013-01-01,5.3
2014-01-01,4.5
2015-01-01,4.2
2016-01-01,4.0
2017-01-01,3.6
2018-01-01,3.3
2019-01-01,3.1
2020-01-01,5.7
2021-01-01,3.2
