DATE,LAUST210000000000003A
1976-01-01,5.5
1977-01-01,4.8
1978-01-01,5.1
1979-01-01,5.5
1980-01-01,8.0
1981-01-01,8.6
1982-01-01,10.8
1983-01-01,11.2
1984-01-01,9.1
1985-01-01,9.0
1986-01-01,9.2
1987-01-01,8.3
1988-01-01,7.5
1989-01-01,6.4
1990-01-01,6.0
1991-01-01,7.3
1992-01-01,6.9
1993-01-01,6.2
1994-01-01,5.4
1995-01-01,5.4
1996-01-01,5.4
1997-01-01,5.2
1998-01-01,4.5
1999-01-01,4.5
2000-01-01,4.1
2001-01-01,5.2
2002-01-01,5.8
2003-01-01,6.2
2004-01-01,5.5
2005-01-01,5.9
2006-01-01,5.7
2007-01-01,5.4
2008-01-01,6.5
2009-01-01,10.8
2010-01-01,10.3
2011-01-01,9.4
2012-01-01,8.2
2013-01-01,7.9
2014-01-01,6.4
2015-01-01,5.2
2016-01-01,5.0
2017-01-01,4.8
2018-01-01,4.2
2019-01-01,4.1
2020-01-01,6.4
2021-01-01,4.7
