DATE,LAUST220000000000003A
1976-01-01,6.6
1977-01-01,6.9
1978-01-01,6.8
1979-01-01,6.6
1980-01-01,7.0
1981-01-01,8.4
1982-01-01,10.2
1983-01-01,11.6
1984-01-01,10.2
1985-01-01,11.5
1986-01-01,12.5
1987-01-01,11.8
1988-01-01,10.6
1989-01-01,7.9
1990-01-01,6.2
1991-01-01,7.2
1992-01-01,7.8
1993-01-01,7.4
1994-01-01,7.7
1995-01-01,6.9
1996-01-01,6.5
1997-01-01,5.9
1998-01-01,5.5
1999-01-01,5.0
2000-01-01,5.2
2001-01-01,5.6
2002-01-01,6.0
2003-01-01,6.3
2004-01-01,5.7
2005-01-01,7.2
2006-01-01,4.1
2007-01-01,4.1
2008-01-01,4.7
2009-01-01,6.8
2010-01-01,7.5
2011-01-01,7.4
2012-01-01,6.7
2013-01-01,6.4
2014-01-01,6.3
2015-01-01,6.3
2016-01-01,6.1
2017-01-01,5.1
2018-01-01,4.8
2019-01-01,4.6
2020-01-01,8.7
2021-01-01,5.5
