DATE,LAUST250000000000003A
1976-01-01,9.8
1977-01-01,7.9
1978-01-01,6.2
1979-01-01,5.5
1980-01-01,5.8
1981-01-01,6.4
1982-01-01,7.8
1983-01-01,6.9
1984-01-01,4.8
1985-01-01,4.1
1986-01-01,4.0
1987-01-01,3.4
1988-01-01,3.3
1989-01-01,4.2
1990-01-01,6.4
1991-01-01,8.8
1992-01-01,8.8
1993-01-01,7.3
1994-01-01,6.2
1995-01-01,5.5
1996-01-01,4.6
1997-01-01,4.1
1998-01-01,3.4
1999-01-01,3.3
2000-01-01,2.8
2001-01-01,3.8
2002-01-01,5.2
2003-01-01,5.7
2004-01-01,5.1
2005-01-01,4.8
2006-01-01,4.7
2007-01-01,4.5
2008-01-01,5.3
2009-01-01,8.1
2010-01-01,8.1
2011-01-01,7.2
2012-01-01,6.7
2013-01-01,6.6
2014-01-01,5.7
2015-01-01,4.8
2016-01-01,4.0
2017-01-01,3.8
2018-01-01,3.4
2019-01-01,3.1
2020-01-01,9.4
2021-01-01,5.7
