DATE,LAUST240000000000003A
1976-01-01,6.6
1977-01-01,6.1
1978-01-01,5.6
1979-01-01,5.8
1980-01-01,6.6
1981-01-01,7.1
1982-01-01,8.3
1983-01-01,6.9
1984-01-01,5.3
1985-01-01,4.6
1986-01-01,4.5
1987-01-01,4.3
1988-01-01,4.2
1989-01-01,3.8
1990-01-01,4.3
1991-01-01,5.9
1992-01-01,6.5
1993-01-01,6.0
1994-01-01,5.2
1995-01-01,5.0
1996-01-01,4.9
1997-01-01,4.8
1998-01-01,4.3
1999-01-01,3.5
2000-01-01,3.5
2001-01-01,4.2
2002-01-01,4.8
2003-01-01,4.8
2004-01-01,4.6
2005-01-01,4.5
2006-01-01,4.2
2007-01-01,3.7
2008-01-01,4.5
2009-01-01,7.6
2010-01-01,7.8
2011-01-01,7.3
2012-01-01,6.9
2013-01-01,6.5
2014-01-01,5.7
2015-01-01,5.0
2016-01-01,4.3
2017-01-01,4.0
2018-01-01,3.6
2019-01-01,3.4
2020-01-01,6.7
2021-01-01,5.8
