DATE,LAUST260000000000003A
1976-01-01,9.4
1977-01-01,8.2
1978-01-01,7.0
1979-01-01,7.8
1980-01-01,12.3
1981-01-01,12.4
1982-01-01,15.5
1983-01-01,14.5
1984-01-01,11.2
1985-01-01,10.0
1986-01-01,8.9
1987-01-01,8.4
1988-01-01,7.6
1989-01-01,7.2
1990-01-01,7.7
1991-01-01,9.3
1992-01-01,9.1
1993-01-01,7.3
1994-01-01,6.1
1995-01-01,5.3
1996-01-01,4.9
1997-01-01,4.3
1998-01-01,4.0
1999-01-01,3.8
2000-01-01,3.6
2001-01-01,5.2
2002-01-01,6.2
2003-01-01,7.1
2004-01-01,7.0
2005-01-01,6.8
2006-01-01,7.0
2007-01-01,7.1
2008-01-01,8.2
2009-01-01,13.1
2010-01-01,12.2
2011-01-01,10.0
2012-01-01,9.0
2013-01-01,8.7
2014-01-01,7.2
2015-01-01,5.4
2016-01-01,5.0
2017-01-01,4.6
2018-01-01,4.2
2019-01-01,4.1
2020-01-01,10.0
2021-01-01,5.9
