DATE,LAUST270000000000003A
1976-01-01,5.8
1977-01-01,5.3
1978-01-01,3.9
1979-01-01,4.3
1980-01-01,5.8
1981-01-01,5.8
1982-01-01,7.9
1983-01-01,7.9
1984-01-01,6.3
1985-01-01,6.0
1986-01-01,5.6
1987-01-01,5.1
1988-01-01,4.3
1989-01-01,4.4
1990-01-01,4.7
1991-01-01,5.1
1992-01-01,5.0
1993-01-01,4.8
1994-01-01,4.0
1995-01-01,3.7
1996-01-01,3.8
1997-01-01,3.2
1998-01-01,2.7
1999-01-01,2.7
2000-01-01,3.0
2001-01-01,3.8
2002-01-01,4.5
2003-01-01,4.8
2004-01-01,4.6
2005-01-01,4.1
2006-01-01,4.1
2007-01-01,4.6
2008-01-01,5.4
2009-01-01,7.9
2010-01-01,7.4
2011-01-01,6.5
2012-01-01,5.6
2013-01-01,5.0
2014-01-01,4.3
2015-01-01,3.8
2016-01-01,3.9
2017-01-01,3.5
2018-01-01,3.1
2019-01-01,3.4
2020-01-01,6.3
2021-01-01,3.4
