DATE,LAUST290000000000003A
1976-01-01,6.2
1977-01-01,6.0
1978-01-01,4.9
1979-01-01,4.8
1980-01-01,7.2
1981-01-01,7.7
1982-01-01,9.3
1983-01-01,9.9
1984-01-01,7.4
1985-01-01,6.6
1986-01-01,6.4
1987-01-01,6.3
1988-01-01,5.7
1989-01-01,5.5
1990-01-01,5.9
1991-01-01,6.6
1992-01-01,6.2
1993-01-01,6.2
1994-01-01,5.2
1995-01-01,4.8
1996-01-01,4.7
1997-01-01,4.4
1998-01-01,4.0
1999-01-01,3.2
2000-01-01,3.4
2001-01-01,4.5
2002-01-01,5.3
2003-01-01,5.7
2004-01-01,5.9
2005-01-01,5.4
2006-01-01,4.9
2007-01-01,5.1
2008-01-01,6.2
2009-01-01,9.0
2010-01-01,9.5
2011-01-01,8.6
2012-01-01,7.2
2013-01-01,6.8
2014-01-01,6.2
2015-01-01,5.1
2016-01-01,4.5
2017-01-01,3.7
2018-01-01,3.2
2019-01-01,3.1
2020-01-01,6.1
2021-01-01,4.4
