DATE,LAUST280000000000003A
1976-01-01,6.5
1977-01-01,7.2
1978-01-01,6.8
1979-01-01,5.7
1980-01-01,7.4
1981-01-01,8.5
1982-01-01,11.0
1983-01-01,12.0
1984-01-01,10.6
1985-01-01,10.4
1986-01-01,11.4
1987-01-01,10.1
1988-01-01,8.5
1989-01-01,7.9
1990-01-01,7.6
1991-01-01,8.4
1992-01-01,8.0
1993-01-01,6.7
1994-01-01,6.3
1995-01-01,6.2
1996-01-01,6.0
1997-01-01,5.7
1998-01-01,5.3
1999-01-01,5.1
2000-01-01,5.3
2001-01-01,5.5
2002-01-01,6.4
2003-01-01,6.1
2004-01-01,6.1
2005-01-01,7.6
2006-01-01,6.4
2007-01-01,6.2
2008-01-01,6.7
2009-01-01,9.4
2010-01-01,10.1
2011-01-01,9.8
2012-01-01,8.8
2013-01-01,8.5
2014-01-01,7.6
2015-01-01,6.5
2016-01-01,5.9
2017-01-01,5.2
2018-01-01,4.9
2019-01-01,5.4
2020-01-01,7.9
2021-01-01,5.6
