DATE,LAUST300000000000003A
1976-01-01,5.9
1977-01-01,6.2
1978-01-01,5.6
1979-01-01,5.2
1980-01-01,6.3
1981-01-01,6.7
1982-01-01,8.6
1983-01-01,8.8
1984-01-01,7.5
1985-01-01,7.7
1986-01-01,7.9
1987-01-01,7.5
1988-01-01,6.6
1989-01-01,6.0
1990-01-01,6.1
1991-01-01,6.9
1992-01-01,6.7
1993-01-01,6.1
1994-01-01,5.5
1995-01-01,5.7
1996-01-01,5.6
1997-01-01,5.5
1998-01-01,5.6
1999-01-01,5.3
2000-01-01,4.8
2001-01-01,4.6
2002-01-01,4.6
2003-01-01,4.7
2004-01-01,4.5
2005-01-01,4.1
2006-01-01,3.3
2007-01-01,3.4
2008-01-01,4.7
2009-01-01,7.1
2010-01-01,7.2
2011-01-01,6.6
2012-01-01,5.8
2013-01-01,5.4
2014-01-01,4.7
2015-01-01,4.3
2016-01-01,4.3
2017-01-01,4.1
2018-01-01,3.7
2019-01-01,3.6
2020-01-01,5.8
2021-01-01,3.4
