DATE,LAUST380000000000003A
1976-01-01,3.8
1977-01-01,4.4
1978-01-01,4.2
1979-01-01,4.2
1980-01-01,4.9
1981-01-01,4.9
1982-01-01,5.6
1983-01-01,5.9
1984-01-01,5.3
1985-01-01,5.5
1986-01-01,5.6
1987-01-01,5.0
1988-01-01,4.6
1989-01-01,4.3
1990-01-01,4.1
1991-01-01,4.3
1992-01-01,4.6
1993-01-01,4.3
1994-01-01,3.7
1995-01-01,3.3
1996-01-01,3.1
1997-01-01,2.9
1998-01-01,3.0
1999-01-01,3.1
2000-01-01,3.0
2001-01-01,2.8
2002-01-01,3.4
2003-01-01,3.5
2004-01-01,3.4
2005-01-01,3.3
2006-01-01,3.1
2007-01-01,3.0
2008-01-01,3.1
2009-01-01,3.9
2010-01-01,3.7
2011-01-01,3.3
2012-01-01,2.9
2013-01-01,2.9
2014-01-01,2.6
2015-01-01,2.8
2016-01-01,3.1
2017-01-01,2.6
2018-01-01,2.4
2019-01-01,2.1
2020-01-01,5.1
2021-01-01,3.7
