DATE,LAUST310000000000003A
1976-01-01,3.2
1977-01-01,3.3
1978-01-01,3.0
1979-01-01,2.8
1980-01-01,3.8
1981-01-01,4.1
1982-01-01,5.5
1983-01-01,5.6
1984-01-01,4.5
1985-01-01,5.1
1986-01-01,4.8
1987-01-01,4.2
1988-01-01,3.5
1989-01-01,2.9
1990-01-01,2.4
1991-01-01,2.7
1992-01-01,2.8
1993-01-01,2.8
1994-01-01,2.6
1995-01-01,2.6
1996-01-01,2.7
1997-01-01,2.4
1998-01-01,2.5
1999-01-01,2.7
2000-01-01,2.8
2001-01-01,3.1
2002-01-01,3.7
2003-01-01,3.9
2004-01-01,3.9
2005-01-01,3.8
2006-01-01,3.0
2007-01-01,2.9
2008-01-01,3.2
2009-01-01,4.7
2010-01-01,4.7
2011-01-01,4.4
2012-01-01,3.9
2013-01-01,3.7
2014-01-01,3.3
2015-01-01,3.0
2016-01-01,3.1
2017-01-01,3.0
2018-01-01,2.9
2019-01-01,3.0
2020-01-01,4.1
2021-01-01,2.5
