DATE,LAUST330000000000003A
1976-01-01,6.4
1977-01-01,5.6
1978-01-01,3.8
1979-01-01,3.1
1980-01-01,4.5
1981-01-01,5.1
1982-01-01,6.9
1983-01-01,5.5
1984-01-01,4.2
1985-01-01,3.7
1986-01-01,2.6
1987-01-01,2.2
1988-01-01,2.4
1989-01-01,3.3
1990-01-01,5.3
1991-01-01,6.8
1992-01-01,7.3
1993-01-01,6.1
1994-01-01,4.5
1995-01-01,3.8
1996-01-01,3.8
1997-01-01,3.4
1998-01-01,2.8
1999-01-01,2.7
2000-01-01,2.7
2001-01-01,3.4
2002-01-01,4.5
2003-01-01,4.5
2004-01-01,3.8
2005-01-01,3.6
2006-01-01,3.5
2007-01-01,3.5
2008-01-01,3.7
2009-01-01,6.1
2010-01-01,6.1
2011-01-01,5.5
2012-01-01,5.4
2013-01-01,5.3
2014-01-01,4.3
2015-01-01,3.4
2016-01-01,2.9
2017-01-01,2.8
2018-01-01,2.6
2019-01-01,2.6
2020-01-01,6.7
2021-01-01,3.5
