DATE,LAUST340000000000003A
1976-01-01,10.4
1977-01-01,9.3
1978-01-01,7.2
1979-01-01,6.9
1980-01-01,7.1
1981-01-01,7.5
1982-01-01,8.7
1983-01-01,8.2
1984-01-01,6.3
1985-01-01,5.6
1986-01-01,5.0
1987-01-01,4.0
1988-01-01,3.8
1989-01-01,4.1
1990-01-01,5.1
1991-01-01,6.8
1992-01-01,8.5
1993-01-01,7.8
1994-01-01,6.8
1995-01-01,6.4
1996-01-01,6.1
1997-01-01,5.3
1998-01-01,4.6
1999-01-01,4.4
2000-01-01,3.7
2001-01-01,4.2
2002-01-01,5.8
2003-01-01,5.8
2004-01-01,4.9
2005-01-01,4.4
2006-01-01,4.6
2007-01-01,4.2
2008-01-01,5.4
2009-01-01,9.0
2010-01-01,9.7
2011-01-01,9.4
2012-01-01,9.4
2013-01-01,8.4
2014-01-01,6.7
2015-01-01,5.7
2016-01-01,4.9
2017-01-01,4.5
2018-01-01,4.0
2019-01-01,3.4
2020-01-01,9.5
2021-01-01,6.3
