DATE,LAUST350000000000003A
1976-01-01,8.7
1977-01-01,7.8
1978-01-01,6.2
1979-01-01,6.7
1980-01-01,7.6
1981-01-01,7.2
1982-01-01,9.0
1983-01-01,9.7
1984-01-01,7.7
1985-01-01,8.6
1986-01-01,9.2
1987-01-01,8.9
1988-01-01,7.6
1989-01-01,6.7
1990-01-01,6.7
1991-01-01,7.2
1992-01-01,7.3
1993-01-01,7.3
1994-01-01,6.5
1995-01-01,6.7
1996-01-01,7.5
1997-01-01,6.4
1998-01-01,6.2
1999-01-01,5.6
2000-01-01,5.0
2001-01-01,5.0
2002-01-01,5.5
2003-01-01,5.9
2004-01-01,5.6
2005-01-01,5.2
2006-01-01,4.2
2007-01-01,3.6
2008-01-01,4.3
2009-01-01,7.1
2010-01-01,7.8
2011-01-01,7.2
2012-01-01,7.0
2013-01-01,6.9
2014-01-01,6.6
2015-01-01,6.6
2016-01-01,6.7
2017-01-01,6.1
2018-01-01,4.9
2019-01-01,4.9
2020-01-01,8.1
2021-01-01,6.8
