DATE,LAUST320000000000003A
1976-01-01,8.9
1977-01-01,6.8
1978-01-01,4.4
1979-01-01,4.9
1980-01-01,6.3
1981-01-01,7.3
1982-01-01,10.1
1983-01-01,9.8
1984-01-01,7.7
1985-01-01,7.5
1986-01-01,6.3
1987-01-01,6.2
1988-01-01,5.2
1989-01-01,4.7
1990-01-01,4.7
1991-01-01,5.9
1992-01-01,6.8
1993-01-01,6.9
1994-01-01,6.2
1995-01-01,5.6
1996-01-01,5.1
1997-01-01,4.4
1998-01-01,4.2
1999-01-01,4.0
2000-01-01,4.1
2001-01-01,5.2
2002-01-01,5.7
2003-01-01,5.3
2004-01-01,4.4
2005-01-01,4.1
2006-01-01,4.0
2007-01-01,4.6
2008-01-01,6.9
2009-01-01,11.7
2010-01-01,13.8
2011-01-01,13.3
2012-01-01,11.6
2013-01-01,10.0
2014-01-01,8.2
2015-01-01,6.8
2016-01-01,5.8
2017-01-01,5.0
2018-01-01,4.4
2019-01-01,4.0
2020-01-01,13.5
2021-01-01,7.2
