DATE,LAUST410000000000003A
1976-01-01,9.3
1977-01-01,7.4
1978-01-01,6.1
1979-01-01,6.7
1980-01-01,8.4
1981-01-01,9.7
1982-01-01,11.3
1983-01-01,10.8
1984-01-01,9.3
1985-01-01,8.6
1986-01-01,7.9
1987-01-01,6.2
1988-01-01,5.7
1989-01-01,5.4
1990-01-01,5.4
1991-01-01,6.2
1992-01-01,7.3
1993-01-01,7.0
1994-01-01,5.3
1995-01-01,4.8
1996-01-01,5.6
1997-01-01,5.5
1998-01-01,5.7
1999-01-01,5.5
2000-01-01,5.2
2001-01-01,6.4
2002-01-01,7.5
2003-01-01,8.0
2004-01-01,7.4
2005-01-01,6.2
2006-01-01,5.4
2007-01-01,5.2
2008-01-01,6.2
2009-01-01,10.8
2010-01-01,10.7
2011-01-01,9.6
2012-01-01,8.8
2013-01-01,7.8
2014-01-01,6.7
2015-01-01,5.5
2016-01-01,4.7
2017-01-01,4.1
2018-01-01,4.0
2019-01-01,3.7
2020-01-01,7.6
2021-01-01,5.2
