DATE,LAUST440000000000003A
1976-01-01,8.0
1977-01-01,8.0
1978-01-01,6.3
1979-01-01,6.3
1980-01-01,7.2
1981-01-01,7.6
1982-01-01,10.0
1983-01-01,8.4
1984-01-01,5.3
1985-01-01,4.7
1986-01-01,4.1
1987-01-01,3.7
1988-01-01,2.9
1989-01-01,3.9
1990-01-01,6.2
1991-01-01,8.4
1992-01-01,9.0
1993-01-01,7.5
1994-01-01,6.6
1995-01-01,6.3
1996-01-01,5.2
1997-01-01,5.3
1998-01-01,4.5
1999-01-01,4.2
2000-01-01,4.0
2001-01-01,4.5
2002-01-01,5.1
2003-01-01,5.6
2004-01-01,5.3
2005-01-01,5.1
2006-01-01,5.2
2007-01-01,5.1
2008-01-01,7.6
2009-01-01,11.4
2010-01-01,11.6
2011-01-01,11.0
2012-01-01,10.2
2013-01-01,9.5
2014-01-01,7.8
2015-01-01,6.0
2016-01-01,5.2
2017-01-01,4.5
2018-01-01,4.1
2019-01-01,3.6
2020-01-01,9.2
2021-01-01,5.6
