DATE,LAUST450000000000003A
1976-01-01,7.0
1977-01-01,6.8
1978-01-01,5.6
1979-01-01,5.0
1980-01-01,6.7
1981-01-01,8.2
1982-01-01,10.8
1983-01-01,9.9
1984-01-01,6.9
1985-01-01,6.8
1986-01-01,6.4
1987-01-01,5.5
1988-01-01,4.6
1989-01-01,4.6
1990-01-01,4.9
1991-01-01,6.1
1992-01-01,6.7
1993-01-01,7.3
1994-01-01,6.2
1995-01-01,5.1
1996-01-01,5.7
1997-01-01,4.5
1998-01-01,3.6
1999-01-01,4.1
2000-01-01,3.7
2001-01-01,5.3
2002-01-01,6.4
2003-01-01,7.2
2004-01-01,7.4
2005-01-01,7.3
2006-01-01,6.9
2007-01-01,6.1
2008-01-01,7.3
2009-01-01,11.4
2010-01-01,11.3
2011-01-01,10.4
2012-01-01,9.0
2013-01-01,7.4
2014-01-01,6.3
2015-01-01,5.9
2016-01-01,4.9
2017-01-01,4.2
2018-01-01,3.4
2019-01-01,2.8
2020-01-01,6.0
2021-01-01,4.0
