DATE,LAUST460000000000003A
1976-01-01,3.3
1977-01-01,3.4
1978-01-01,3.2
1979-01-01,3.4
1980-01-01,4.7
1981-01-01,4.9
1982-01-01,5.4
1983-01-01,5.2
1984-01-01,4.4
1985-01-01,4.8
1986-01-01,4.6
1987-01-01,4.3
1988-01-01,4.1
1989-01-01,3.9
1990-01-01,3.6
1991-01-01,3.5
1992-01-01,3.4
1993-01-01,3.5
1994-01-01,3.3
1995-01-01,3.2
1996-01-01,3.3
1997-01-01,2.9
1998-01-01,2.9
1999-01-01,2.7
2000-01-01,2.5
2001-01-01,3.0
2002-01-01,3.2
2003-01-01,3.5
2004-01-01,3.6
2005-01-01,3.6
2006-01-01,3.0
2007-01-01,2.8
2008-01-01,3.1
2009-01-01,4.6
2010-01-01,4.9
2011-01-01,4.6
2012-01-01,4.1
2013-01-01,3.7
2014-01-01,3.3
2015-01-01,3.0
2016-01-01,3.0
2017-01-01,3.1
2018-01-01,2.8
2019-01-01,2.8
2020-01-01,4.3
2021-01-01,3.1
