DATE,LAUST470000000000003A
1976-01-01,6.1
1977-01-01,6.3
1978-01-01,5.8
1979-01-01,5.8
1980-01-01,7.2
1981-01-01,8.9
1982-01-01,11.7
1983-01-01,11.6
1984-01-01,8.8
1985-01-01,7.9
1986-01-01,7.9
1987-01-01,6.7
1988-01-01,5.8
1989-01-01,5.1
1990-01-01,5.3
1991-01-01,6.6
1992-01-01,6.5
1993-01-01,5.8
1994-01-01,4.8
1995-01-01,5.2
1996-01-01,5.2
1997-01-01,5.3
1998-01-01,4.3
1999-01-01,4.0
2000-01-01,3.9
2001-01-01,4.5
2002-01-01,5.1
2003-01-01,5.5
2004-01-01,5.3
2005-01-01,5.5
2006-01-01,5.3
2007-01-01,4.6
2008-01-01,6.5
2009-01-01,10.1
2010-01-01,9.8
2011-01-01,9.1
2012-01-01,8.0
2013-01-01,7.8
2014-01-01,6.6
2015-01-01,5.6
2016-01-01,4.7
2017-01-01,3.7
2018-01-01,3.5
2019-01-01,3.4
2020-01-01,7.4
2021-01-01,4.3
