DATE,LAUST490000000000003A
1976-01-01,5.6
1977-01-01,5.2
1978-01-01,3.9
1979-01-01,4.4
1980-01-01,6.3
1981-01-01,6.7
1982-01-01,8.1
1983-01-01,9.0
1984-01-01,6.6
1985-01-01,6.1
1986-01-01,6.1
1987-01-01,6.3
1988-01-01,4.9
1989-01-01,4.6
1990-01-01,4.4
1991-01-01,4.7
1992-01-01,4.9
1993-01-01,4.0
1994-01-01,3.7
1995-01-01,3.4
1996-01-01,3.4
1997-01-01,3.2
1998-01-01,3.6
1999-01-01,3.5
2000-01-01,3.3
2001-01-01,4.4
2002-01-01,5.7
2003-01-01,5.6
2004-01-01,5.0
2005-01-01,4.0
2006-01-01,2.8
2007-01-01,2.6
2008-01-01,3.3
2009-01-01,7.3
2010-01-01,7.9
2011-01-01,7.1
2012-01-01,4.8
2013-01-01,4.2
2014-01-01,3.6
2015-01-01,3.5
2016-01-01,3.3
2017-01-01,3.1
2018-01-01,2.9
2019-01-01,2.6
2020-01-01,4.7
2021-01-01,2.7
