DATE,LAUST500000000000003A
1976-01-01,8.3
1977-01-01,7.0
1978-01-01,5.7
1979-01-01,5.0
1980-01-01,5.9
1981-01-01,5.8
1982-01-01,6.8
1983-01-01,6.5
1984-01-01,4.9
1985-01-01,4.6
1986-01-01,4.3
1987-01-01,3.7
1988-01-01,3.0
1989-01-01,3.6
1990-01-01,4.7
1991-01-01,5.9
1992-01-01,6.2
1993-01-01,5.2
1994-01-01,4.4
1995-01-01,4.2
1996-01-01,4.3
1997-01-01,3.9
1998-01-01,3.5
1999-01-01,3.1
2000-01-01,2.8
2001-01-01,3.3
2002-01-01,3.8
2003-01-01,4.4
2004-01-01,3.7
2005-01-01,3.5
2006-01-01,3.7
2007-01-01,3.9
2008-01-01,4.5
2009-01-01,6.2
2010-01-01,6.3
2011-01-01,5.6
2012-01-01,4.8
2013-01-01,4.4
2014-01-01,4.0
2015-01-01,3.5
2016-01-01,3.1
2017-01-01,3.0
2018-01-01,2.6
2019-01-01,2.3
2020-01-01,5.6
2021-01-01,3.4
