DATE,LAUST530000000000003A
1976-01-01,8.8
1977-01-01,8.4
1978-01-01,6.8
1979-01-01,6.8
1980-01-01,7.9
1981-01-01,9.3
1982-01-01,11.6
1983-01-01,11.2
1984-01-01,9.3
1985-01-01,8.2
1986-01-01,8.1
1987-01-01,7.3
1988-01-01,6.3
1989-01-01,5.9
1990-01-01,5.1
1991-01-01,6.1
1992-01-01,7.2
1993-01-01,7.3
1994-01-01,6.3
1995-01-01,6.2
1996-01-01,5.9
1997-01-01,4.9
1998-01-01,4.8
1999-01-01,4.8
2000-01-01,5.1
2001-01-01,6.0
2002-01-01,7.1
2003-01-01,7.2
2004-01-01,6.3
2005-01-01,5.6
2006-01-01,5.0
2007-01-01,4.6
2008-01-01,5.2
2009-01-01,8.3
2010-01-01,9.1
2011-01-01,8.5
2012-01-01,7.7
2013-01-01,6.6
2014-01-01,5.9
2015-01-01,5.4
2016-01-01,5.2
2017-01-01,4.6
2018-01-01,4.4
2019-01-01,4.3
2020-01-01,8.5
2021-01-01,5.2
