DATE,LAUST550000000000003A
1976-01-01,5.5
1977-01-01,5.0
1978-01-01,4.9
1979-01-01,4.5
1980-01-01,7.3
1981-01-01,7.8
1982-01-01,10.3
1983-01-01,9.8
1984-01-01,7.3
1985-01-01,7.2
1986-01-01,6.8
1987-01-01,5.7
1988-01-01,4.4
1989-01-01,4.3
1990-01-01,4.4
1991-01-01,5.4
1992-01-01,5.1
1993-01-01,4.3
1994-01-01,4.2
1995-01-01,3.7
1996-01-01,3.6
1997-01-01,3.5
1998-01-01,3.3
1999-01-01,3.1
2000-01-01,3.4
2001-01-01,4.4
2002-01-01,5.3
2003-01-01,5.6
2004-01-01,5.0
2005-01-01,4.8
2006-01-01,4.7
2007-01-01,4.8
2008-01-01,4.9
2009-01-01,9.0
2010-01-01,8.5
2011-01-01,7.6
2012-01-01,6.9
2013-01-01,6.7
2014-01-01,5.3
2015-01-01,4.4
2016-01-01,3.9
2017-01-01,3.3
2018-01-01,3.0
2019-01-01,3.2
2020-01-01,6.3
2021-01-01,3.8
