DATE,LAUST540000000000003A
1976-01-01,7.2
1977-01-01,6.9
1978-01-01,6.3
1979-01-01,7.3
1980-01-01,10.1
1981-01-01,10.6
1982-01-01,14.0
1983-01-01,17.3
1984-01-01,14.1
1985-01-01,13.2
1986-01-01,12.0
1987-01-01,11.0
1988-01-01,9.9
1989-01-01,8.7
1990-01-01,8.6
1991-01-01,10.6
1992-01-01,11.2
1993-01-01,10.3
1994-01-01,8.8
1995-01-01,8.0
1996-01-01,7.7
1997-01-01,7.0
1998-01-01,6.7
1999-01-01,6.5
2000-01-01,5.6
2001-01-01,5.4
2002-01-01,6.5
2003-01-01,6.6
2004-01-01,5.8
2005-01-01,5.5
2006-01-01,5.2
2007-01-01,4.8
2008-01-01,4.7
2009-01-01,8.3
2010-01-01,8.7
2011-01-01,7.8
2012-01-01,7.2
2013-01-01,6.7
2014-01-01,6.5
2015-01-01,6.6
2016-01-01,6.1
2017-01-01,5.2
2018-01-01,5.2
2019-01-01,4.9
2020-01-01,8.2
2021-01-01,5.0
