DATE,LAUST560000000000003A
1976-01-01,3.9
1977-01-01,3.3
1978-01-01,2.9
1979-01-01,2.5
1980-01-01,3.8
1981-01-01,4.1
1982-01-01,5.9
1983-01-01,8.0
1984-01-01,6.3
1985-01-01,7.0
1986-01-01,8.6
1987-01-01,8.1
1988-01-01,6.5
1989-01-01,6.1
1990-01-01,5.1
1991-01-01,5.0
1992-01-01,5.4
1993-01-01,5.3
1994-01-01,4.9
1995-01-01,4.8
1996-01-01,5.0
1997-01-01,4.8
1998-01-01,4.8
1999-01-01,4.7
2000-01-01,3.8
2001-01-01,3.8
2002-01-01,4.0
2003-01-01,4.3
2004-01-01,3.8
2005-01-01,3.6
2006-01-01,3.0
2007-01-01,2.6
2008-01-01,2.9
2009-01-01,6.3
2010-01-01,6.9
2011-01-01,6.2
2012-01-01,5.5
2013-01-01,4.8
2014-01-01,4.3
2015-01-01,4.2
2016-01-01,5.4
2017-01-01,4.3
2018-01-01,4.1
2019-01-01,3.7
2020-01-01,5.8
2021-01-01,4.5
